marker_ID,BE,EC,Fib,LE,Leu,SM
LRRFIP2,0.0,0.0,0.0,1.037129228467188,0.0,0.0
SMDT1,0.0,0.0,0.0,1.305032996927213,0.0,0.0
SERINC5,0.0,0.0,0.0,0.7416742903423013,0.0,0.0
ATP6V0B,0.0,0.5487952158928375,0.0,1.3280330804044693,1.2301370412016333,0.0
MARCKSL1,0.0,1.0496758293838657,0.0,1.0728608961553268,0.0,0.0
DCXR,0.0,0.0,0.0,1.0625980283067,0.0,0.0
IDH2,0.0,0.0,0.0,0.7169844667133989,0.0,0.0
NUPR1,0.6991066332996843,0.0,0.0,1.4411772869535047,0.0,1.3332936074304047
SLC25A37,0.0,0.6610832948587713,0.0,1.169297024701855,0.0,0.0
SQOR,0.0,0.0,0.0,0.7449487059688779,0.0,0.0
PLPP5,0.0,0.0,0.0,0.8237728944646893,0.0,0.0
TM9SF3,0.0,0.0,0.0,1.0949435713482623,0.0,0.0
CANX,0.0,0.0,0.0,1.1783089556207353,0.0,0.0
CMPK1,0.0,0.0,0.0,1.0914593464805968,0.0,0.0
AMD1,0.0,0.0,0.9513160746114635,1.3086751648740047,0.0,0.0
ODC1,0.0,0.0,0.0,0.7690728443057997,0.0,0.0
DDT1,0.0,0.0,0.0,1.2096830489219201,0.0,0.0
MAP3K13,0.0,0.0,0.0,1.0572280131651377,0.0,0.0
NDUFA2,0.0,0.0,0.0,0.888271706341587,0.0,0.0
SMS,0.0,0.0,0.0,1.0558774342481752,0.0,0.0
NENF,0.0,0.0,0.8140986959098044,1.3032819260109898,0.0,0.0
SNRPN,0.0,0.0,0.0,0.7488536330756256,0.0,0.0
MIEN1,0.0,0.0,0.0,0.9604354011294108,0.0,0.0
FAM177A1,0.0,0.0,0.0,1.1566206216515216,0.0,0.0
BNIP3,0.0,0.0,0.0,0.7044955774389814,0.0,0.0
MRPL41,0.0,0.0,0.0,0.9710365039032691,0.0,0.0
AFDN,0.0,0.0,0.0,0.7417400979791635,0.0,0.0
TMEM54,0.0,0.0,0.0,0.5195840766905432,0.0,0.0
PRELID1,0.7984732170634042,0.974478400278244,0.0,1.3774832285398468,0.0,0.0
BEX3,0.0,0.0,0.0,1.200750803550857,0.0,0.0
NDFIP1,0.0,0.0,0.0,1.1778106838250544,0.0,0.0
CLDN7,0.0,0.0,0.0,0.63109894630146,0.0,0.0
SPCS1,0.0,0.0,0.0,1.2165362299549765,0.0,0.0
SYNGR2,0.0,0.0,0.0,0.9096968270445461,0.0,0.0
RAB2,0.0,0.0,0.7826867593681275,1.2687030248794111,0.0,0.0
TMEM14B,0.0,0.0,0.0,0.6482866826887412,0.0,0.0
NEDD4L,0.0,0.0,0.0,0.5675747556667206,0.0,0.0
COX17,0.0,0.8574025516875137,0.0,1.0417955000685986,0.0,0.0
HEL-S-107,0.0,0.0,0.0,1.082773517519783,0.6385801513709415,0.0
BAG1,0.7040451196015818,0.0,0.0,1.2441398832996375,0.0,0.0
IL6ST,0.0,0.0,0.0,0.8493449909191767,0.0,0.0
CD164,0.0,0.0,0.9023588280589624,1.1908329691831927,0.7151599577106976,0.0
CTTN,0.0,0.0,0.0,0.7002368105745762,0.0,0.0
MZT2B,1.0591871176298053,0.0,0.0,1.3974217073709734,0.6388112408658314,0.0
MIDN,0.0,0.0,0.0,0.8782234786470878,0.0,0.0
MMP24OS,0.0,0.0,0.0,0.8102637966872278,0.0,0.0
