marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia
MMP16,1.215481279613289,0.0,0.0,2.156181647577345,0.0,0.0
GRIK1,0.0,0.0,0.0,1.9503807611180581,0.0,0.0
KCND2,1.5190589173358906,0.0,0.0,2.423511696833421,0.0,0.0
IPO9-AS1,0.0,0.0,0.0,1.9183529206997163,0.0,0.0
DCC,0.5657709712019121,0.0,0.0,1.9930863692372058,0.0,0.0
BRINP3,0.5690296522789721,0.0,0.0,1.9338789818063276,0.0,0.0
MEGF11,0.0,0.0,0.0,1.4481549855352627,0.0,0.0
GALNT13,0.0,0.0,0.0,1.8626372500873152,0.0,0.0
OPHN1,0.0,0.0,1.823276102423197,1.8814926856957503,0.0,0.0
AL445250,0.0,0.0,0.0,1.5616088242597264,0.0,0.0
COL9A1,0.0,0.0,0.0,1.0627429035295246,0.0,0.0
RIN2,0.0,0.0,0.0,1.493723791135655,0.0,0.0
AL353784,0.0,0.0,0.0,0.6463264721463445,0.0,0.0
DGKG,0.0,0.0,1.527121780896516,1.819370013775011,0.0,0.0
NAV1,0.8156113166464212,0.0,0.0,1.890028345106198,0.0,0.0
KAT2B,0.0,0.0,0.0,1.5147299116155055,0.0,0.0
SCRG1,0.0,0.0,0.0,1.5291000782716644,0.0,0.0
ZNF462,0.0,0.0,0.0,1.4410973317929994,0.0,0.0
SEZ6L,0.7900207861798707,0.0,0.0,1.8237115946908276,0.0,0.0
LRRTM4,3.0999366458778703,0.0,0.0,3.280486466722717,0.0,1.7206320619155409
ZEB1,0.6890969551303299,0.0,0.0,1.8124730231007127,1.7408112434305503,0.0
SNTG1,2.3261462072433305,0.0,0.0,2.7424086205516853,0.0,0.0
ALCAM,0.0,1.7193414598044634,0.0,1.7473437189741607,0.0,0.0
SGCZ,0.9375904566575759,0.0,0.0,1.942724686230091,0.0,0.0
PDZD2,1.1774016794996176,0.0,0.0,1.939849050508678,1.543702450584484,0.0
CSMD1,3.4939989338586064,0.0,0.0,3.563161017354619,0.0,1.3912248804645355
COL11A1,0.0,0.0,0.0,1.1129177060632038,0.0,0.0
TAOK3,0.7739400114505492,0.0,0.0,1.7790606965957858,0.0,1.06548492380337
MDGA2,2.16927515978799,0.0,0.0,2.5763884487722697,0.0,0.0
NTNG1,0.0,0.0,0.0,1.4378978535681912,0.0,0.0
CSMD3,1.8580551037460054,0.0,0.0,2.303896060814687,0.0,0.0
PID1,0.0,0.0,0.0,1.5268424203394344,0.0,0.0
NLGN4Y,1.0997803192838354,0.0,0.0,1.8360131181816994,0.0,0.5836347634012662
DNER,0.0,0.0,0.0,1.5181674318068876,0.0,0.0
SERINC5,0.0,0.0,0.0,1.3544101127026433,0.0,0.0
REV3L,1.141299173467723,0.0,1.2177539392420151,1.8870531486880309,0.0,0.0
SPATA6,0.0,0.0,0.0,1.5187281504399621,0.0,0.0
FCHSD2,0.0,0.0,0.0,1.6187893945620795,1.0831905287598813,1.395670575565507
GRM7,1.8140881239203206,0.0,0.0,2.3151377794263244,0.0,0.0
ABHD2,0.0,0.0,0.0,1.4585809125703846,0.0,0.0
PDZRN4,0.0,0.0,0.0,1.4374085956739568,0.0,0.0
ASTN2,1.218115524375023,0.0,0.0,1.9525049693784853,0.0,0.0
PEAK1,0.0,0.0,0.0,1.5679640878585657,0.0,0.0
CASK,0.0,0.0,0.0,1.4727240145427092,0.0,0.0
ZFPM2,1.0580540881602156,0.0,0.0,1.7633746053522585,0.0,0.0
USP24,0.0,0.0,0.0,0.8751334348292719,0.0,0.0
KIF26B,0.0,0.0,0.0,0.9673509557602296,0.0,0.0
NLGN4X,0.7196899358729494,0.0,0.0,1.588805666923352,0.0,0.0
MTSS1,0.0,0.0,0.0,0.8273548371976776,0.0,0.0
CHL1,1.4486419660370249,0.0,0.0,1.9169934840429683,0.0,0.0
ZDHHC14,0.7886919881259897,0.0,0.0,1.4729620437757731,0.0,0.0
GPC6,1.1184661577631188,0.0,0.0,1.7430519176472745,0.0,0.0
ANKRD28,0.6758808521786234,0.0,0.0,1.427216573807366,0.0,0.0
DSCAML1,0.0,0.0,0.0,1.2590834851389379,0.0,0.0
SUMF1,0.8803036660601951,0.0,0.0,1.5829378652899049,0.0,0.9371697441503015
KLF12,0.0,0.0,0.0,1.0629937743326812,0.0,0.0
LINC01322,0.9551669659156208,0.0,0.0,1.570979542205054,0.0,0.0
CTTNBP2,0.0,0.0,0.0,0.6645320313970893,0.0,0.0
CSMD2,0.45722252228422733,0.0,0.0,0.8868472067535813,0.0,0.0
SCN1A,1.2225344917330552,0.0,0.0,1.670181795026867,0.0,0.0
GUSBP1,0.621070242787847,0.0,0.0,1.201486729640934,0.0,0.0
XKR4,1.2714659934826409,0.0,0.0,1.7221672382768198,0.0,0.0
