marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate
7852,0.0,0.0,4.672981341126576,0.0,0.0,0.0
3791,0.0,0.0,4.611100772986537,0.0,0.0,0.0
11082,0.0,0.0,4.357446934471755,0.0,0.0,0.0
23178,0.0,0.0,4.179770054552835,0.0,0.0,0.0
2171,0.0,0.0,4.774172311304434,0.0,0.0,0.0
7075,0.0,0.0,4.23293418096169,0.0,0.0,0.0
5654,0.0,0.0,4.336516584661002,0.0,0.0,0.0
7450,0.0,0.0,4.322774568470398,0.0,0.0,0.0
2012,0.0,0.0,4.0040899153423855,0.0,0.0,0.0
9537,0.0,0.0,4.198325697662812,0.0,0.0,0.0
54538,0.0,0.0,3.9141258891635773,0.0,0.0,0.0
9021,0.0,0.0,4.270562595635381,0.0,0.0,0.0
7122,0.0,0.0,3.8444875649695427,0.0,0.0,0.0
7057,0.0,0.0,4.123959991164383,0.0,0.0,0.0
285,0.0,0.0,3.699902527418029,0.0,0.0,0.0
6624,0.0,0.0,3.8244646122976924,0.0,0.0,0.0
64123,0.0,0.0,3.752130326092105,0.0,0.0,0.0
131583,0.0,0.0,3.779580889482034,0.0,0.0,0.0
3429,0.0,0.0,3.6878328448224265,0.0,0.0,0.0
221395,0.0,0.0,3.675328963336537,0.0,0.0,0.0
6405,0.0,0.0,3.7562100518486856,0.0,0.0,0.0
3643,0.0,0.0,4.131519430225849,0.0,0.0,0.0
8828,0.0,0.0,3.8075447622809424,0.0,0.0,0.0
7056,0.0,0.0,3.857094132773706,0.0,0.0,0.0
23452,0.0,0.0,3.734910232690082,0.0,0.0,0.0
1901,0.0,0.0,3.519412610535738,0.0,0.0,0.0
3910,0.0,0.0,3.448059313795928,0.0,0.0,0.0
11007,0.0,0.0,3.8611274620813294,0.0,0.0,0.0
25937,0.0,0.0,3.761677098449442,0.0,0.0,0.0
10365,0.0,0.0,3.588531701342384,0.0,0.0,0.0
641700,0.0,0.0,3.4947164574113767,0.0,0.0,0.0
9351,0.0,0.0,3.923029316935665,0.0,0.0,0.0
340061,0.0,0.0,3.3426206762382513,0.0,0.0,0.0
678,0.0,0.0,3.6768678115179627,0.0,0.0,0.0
7525,0.0,0.0,3.563469147437403,0.0,0.0,0.0
2040,0.0,0.0,3.6255263964840845,0.0,0.0,0.0
26064,0.0,0.0,3.4149797440090683,0.0,0.0,0.0
23129,0.0,0.0,3.38688355200538,0.0,0.0,0.0
8692,0.0,0.0,3.7610668200931703,0.0,0.0,0.0
4851,0.0,0.0,3.069757036609623,0.0,0.0,0.0
2078,0.0,0.0,3.0093131199320133,0.0,0.0,0.0
7378,0.0,0.0,3.389672881207048,0.0,0.0,0.0
9467,0.0,0.0,3.184631968984573,0.0,0.0,0.0
8291,0.0,0.0,2.91227173105001,0.0,0.0,0.0
639,0.0,0.0,2.7260039314100526,0.0,0.0,0.0
54861,0.0,0.0,3.246392529871163,0.0,0.0,0.0
3397,0.0,0.0,5.147602254743726,0.0,0.0,0.0
57572,0.0,0.0,3.068737355951817,0.0,0.0,0.0
81619,0.0,0.0,3.320057351208085,0.0,0.0,0.0
30844,0.0,0.0,3.320057351208085,0.0,0.0,0.0
5155,0.0,0.0,2.4322466647586873,0.0,0.0,0.0
9535,0.0,0.0,2.309448012929251,0.0,0.0,0.0
1848,0.0,0.0,2.8515285100391914,0.0,0.0,0.0
8682,0.0,0.0,3.7450052045001154,0.0,0.0,0.0
3340,0.0,0.0,3.0937972049486926,0.0,0.0,0.0
29015,0.0,0.0,2.8110386060542485,0.0,0.0,0.0
3383,0.0,0.0,3.173862972951591,0.0,0.0,0.0
6397,0.0,0.0,3.0479596373887863,0.0,0.0,0.0
10625,0.0,0.0,2.7899132983057773,0.0,0.0,0.0
5829,0.0,0.0,3.6560342029969854,0.0,0.0,0.0
1889,0.0,0.0,3.6608454057516626,0.0,0.0,0.0
2995,0.0,0.0,1.064361039446462,0.0,0.0,0.0
