marker_ID,CM,EC,FB,MP,SMC,weight
8076,0.8600000000000001,0.8600000000000001,0.0,0.8600000000000001,0.8600000000000001,0.8600000000000001
25890,0.45,0.45,0.0,0.45,0.45,0.45
1805,0.885,0.885,0.0,0.885,0.885,0.885
94031,0.05348484848484848,0.05348484848484848,0.0,0.05348484848484848,0.05348484848484848,0.05348484848484848
6035,0.0,0.0,0.0,0.0,0.875,0.875
3399,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857
9452,0.3,0.0,0.3,0.3,0.3,0.3
9351,0.060909090909090906,0.0,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906
2040,0.6945092197867575,0.0,0.6945092197867575,0.6945092197867575,0.6945092197867575,0.6945092197867575
11343,0.1170242656449553,0.0,0.1170242656449553,0.1170242656449553,0.0,0.1170242656449553
10345,0.0,0.78,0.78,0.78,0.78,0.78
1160,0.0,0.1676923076923077,0.1676923076923077,0.1676923076923077,0.1676923076923077,0.1676923076923077
23676,0.0,0.92,0.92,0.92,0.92,0.92
165904,0.0,0.885,0.885,0.885,0.885,0.885
6546,0.0,0.9025000000000001,0.9025000000000001,0.9025000000000001,0.9025000000000001,0.9025000000000001
79933,0.0,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667
26521,0.0,0.029391161645323783,0.029391161645323783,0.029391161645323783,0.029391161645323783,0.029391161645323783
