marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
CD46,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GJB6,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
HMOX2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ZFAND5,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RER1,0.0,0.0,0.6931471824645996,0.6931471824645996,1.0986123085021973,0.0,0.0,0.0
NPEPPS,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RANBP9,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
C1orf116,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SASH1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GDPD3,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GMDS,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.6931471824645996,0.0
VPS4B,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SCNN1B,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
NDRG2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.6931471824645996,0.0
PDLIM2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GID8,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CHMP5,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
MGLL,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PTK6,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
TTC22,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RP6-65G23.3,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
MYO6,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CD55,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
WDR26,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GPT2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
HSPB8,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PMM1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
UBE2G1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
DUSP5,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ADGRF1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ETHE1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RBM47,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
BNIPL,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ADIPOR1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
C18orf25,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
MBOAT2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SERPINB6,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
TMEM154,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GRHL1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SREK1IP1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
B3GNT8,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ACADM,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
