marker_ID,EC,Epi,Lym,Mye,Stromal
CUTA,0.0,0.0,0.9186069751826306,0.0,0.0
SDF2L1,0.0,0.0,0.4648470744245808,0.0,0.0
BTG2,0.0,1.1501484082468243,1.1755401967267924,0.0,0.0
MYDGF,0.0,0.0,0.5181309462185637,0.0,0.0
SELENOK,0.0,0.0,0.9479262319497658,0.0,0.0
SF3B1,0.0,0.0,0.3718741636721289,0.0,0.0
PRRC2C,0.0,0.0,0.5547997629179696,0.0,0.0
ANAPC16,0.0,0.0,0.6327018839136621,0.0,0.0
CCNL1,0.0,0.0,0.27684705134233395,0.0,0.0
SRSF2,0.0,0.0,0.4459285209757812,0.0,0.0
FKBP2,0.0,1.197957422078968,1.2291381488896662,0.0,0.0
TCEA1,0.0,0.0,0.4912618500119436,0.0,0.0
UBXN4,0.0,0.0,0.6627812600811607,0.0,0.0
P4HB,0.0,0.0,0.7828917065031274,0.0,0.0
PDIA6,0.0,1.0229044835719783,1.1672817293660398,0.0,0.0
JTB,0.0,0.0,0.695732326859329,0.0,0.0
SELENOS,0.0,0.0,0.7877518109355756,0.0,0.5581848685850175
GPBP1,0.0,0.0,0.43672481486896364,0.0,0.0
SMDT1,0.0,0.0,0.45416725591029045,0.0,0.0
PDCD4,0.0,0.0,0.31475123419392304,0.0,0.0
SELENOH,0.0,0.0,0.35545577580266097,0.0,0.0
AKAP9,0.0,0.0,0.31687849732334666,0.0,0.0
SNU13,0.0,0.0,0.31984235094129476,0.0,0.0
TMED2,0.0,0.0,0.417279189161464,0.0,0.0
PRELID1,0.0,0.0,0.5193487429740082,0.0,0.0
PIGR,0.0,4.614425742917897,0.0,0.0,0.0
C15orf48,0.0,3.3814582214586357,0.0,0.0,0.0
PHGR1,0.0,3.3872182624451823,0.0,0.0,0.0
TSPAN8,0.0,2.8425375266543575,0.0,0.0,0.0
OLFM4,0.0,3.0994813220041806,0.0,0.0,0.0
LGALS4,0.0,2.628337059046373,0.0,0.0,0.0
PCK1,0.0,2.5911926629667694,0.0,0.0,0.0
KRT18,0.0,2.489705922586649,0.0,0.0,0.0
REG1A,0.0,2.5885319719060487,0.0,0.0,0.0
CD24,0.0,2.507694246041222,0.0,0.0,0.0
ELF3,0.0,2.3190392617716706,0.0,0.0,0.0
FABP1,0.0,2.5077386782748556,0.0,0.0,0.0
KRT8,0.0,2.3609989194658434,0.0,0.0,0.0
AGR2,0.0,2.294938078070844,0.0,0.0,0.0
MGST1,0.0,2.2470217712724763,0.0,0.0,0.0
EPCAM,0.0,2.054472530350634,0.0,0.0,0.0
ATP1B1,0.0,2.0232357345413043,0.0,0.0,0.0
UGT2B17,0.0,1.9571365191189691,0.0,0.0,0.0
SPINK1,0.0,1.9406146122525059,0.0,0.0,0.0
FXYD3,0.0,1.8803128665695001,0.0,0.0,0.0
CLDN4,0.0,1.8850360946966158,0.0,0.0,0.0
CLDN3,0.0,1.8617180578349655,0.0,0.0,0.0
GPX2,0.0,1.835292909359053,0.0,0.0,0.0
HSPA1A,0.0,2.627939696939435,0.0,0.0,0.0
S100A14,0.0,1.6964121692099134,0.0,0.0,0.0
KRT19,0.0,1.567162483666412,0.0,0.0,0.0
HSPA1B,0.0,2.289416729513176,0.0,0.0,0.0
CKS2,0.0,1.6542629018777506,0.0,0.0,0.0
ATP5MC1,0.0,1.9220794239740893,0.0,0.0,0.0
SMIM22,0.0,1.5085556391010873,0.0,0.0,0.0
TFF3,0.0,1.3608207732989746,0.0,0.0,0.0
CLDN7,0.0,1.5068103386187217,0.0,0.0,0.0
DNAJB1,0.0,2.097141118779237,0.0,0.0,0.0
ZFAND2A,0.0,1.1760825054225559,0.0,0.0,0.0
CA2,0.0,0.7942841372890859,0.0,0.0,0.0
HNRNPH1,0.0,1.8250736779722159,0.0,0.0,0.0
