gsm,arm,cohort,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
GSM1235819,hc,GSE51057,2.4962883345206737,-0.4353472764996763,0.15819993712746658,0.5943539552636915,-0.03025760051286741,-0.19995114208995682,0.11486731078651008,0.11907048571878939
GSM1235829,hc,GSE51057,3.2001095086311957,0.4147354907375378,-1.7512334434414578,-0.7525714247466584,0.6652621114067806,-0.01330260069247407,0.00537537207278102,-0.10993325437329593
GSM1235830,hc,GSE51057,0.6075853382295373,-0.685187427486103,0.9210440394181125,0.7077938493119195,-0.062984805091392,0.2980018351427307,-0.0029353941943524127,-0.027648527500762556
GSM1235831,hc,GSE51057,2.2797165300139666,-0.027907811392268504,1.5153254249349455,0.10565169453532638,0.3870834426970224,0.3510823943081891,0.055449345775681225,0.19001266648539206
GSM1235850,hc,GSE51057,1.6613191002552927,-0.32484904685190746,0.45314252193485527,0.2664260418237568,0.18796021339347846,0.19485894101537152,0.17654112918873965,-0.013555172528387612
GSM1235852,hc,GSE51057,-4.386966247119315,0.23291536144633032,0.01524666533370874,-0.547460568642246,0.2565948559727626,-0.3725631813214093,0.11968028108846981,0.1277367036538133
GSM1235866,hc,GSE51057,2.7249737969711427,-1.1791669604908717,0.30600816267068087,0.0920750274573019,-0.07126806967159782,0.30828923616445786,-0.048897609569572634,0.15221136832339263
GSM1235871,hc,GSE51057,1.3179300465061925,-0.7204846642338522,-0.1203038310828317,0.43674794587366006,0.20654916342311536,-0.032623252473943466,0.06698712295148633,-0.083212083330708
GSM1235874,hc,GSE51057,0.500046894605102,-0.20471431332278486,0.10033715514764967,-0.4634825571474084,0.29633994269528097,-0.12045715727674051,0.0947505517512675,-0.08352526336161645
GSM1235875,hc,GSE51057,-1.0322493605635352,0.0381577069896914,1.2908073703811156,0.6795844654792904,0.3267913888202193,0.03320278385992636,-0.03315153877068847,0.028567111499469063
GSM1235876,hc,GSE51057,0.09122702852830168,-1.2836002721152358,1.5717829430900265,-0.25783244059354876,-0.42387255088694703,-0.029667967166383317,-0.024361019892789642,-0.03382810903813653
GSM1235883,hc,GSE51057,0.08112213534661272,-1.4900871672885798,0.2740758436865634,0.3962407123401664,0.291031534584624,-0.025488921955493297,-0.2167701276628665,0.07700058755038328
GSM1235886,hc,GSE51057,-3.2572942700825585,0.08696434970818442,0.2595350403187712,-1.0672601725348068,-0.06982099298937915,-0.6305120506639111,-0.2039896637873439,-0.30844870269027774
GSM1235887,hc,GSE51057,1.4230641181352717,-0.5931247840568032,0.15573851568844688,-0.19115290011379146,0.20660644902916947,0.507426613766815,0.19604693824346162,-0.11235484414836731
GSM1235891,hc,GSE51057,-3.2307200671664313,-0.12508600595949715,-1.0076313134252215,0.79464612392534,0.2446518460842135,0.03652454442228357,0.13609206687716924,-0.18734638974811427
GSM1235897,hc,GSE51057,2.136987168852523,-0.944869981610715,0.6472204889120452,0.03085831412193392,0.34649900230848196,-0.08185256531003393,0.07492831858852972,-0.06987479510454798
GSM1235901,hc,GSE51057,3.8977889754613493,0.10374737708233404,-1.9086383201242072,-0.14768836425630855,-0.34033682921707686,-0.427110054258053,0.08309924766784581,-0.01672579408409138
GSM1235911,hc,GSE51057,4.452501284141731,-1.1631443789703655,-0.572267019215062,0.03603228241154837,-0.04476354252217423,-0.10439529291126516,-0.12325299707511439,-0.08178551658862136
GSM1235922,hc,GSE51057,2.788237457871289,-0.29899004732446915,0.22514207196389938,0.06090588072220599,0.3988124968464825,-0.8617993328104004,-0.12457016619434579,0.1197192591111496
