"","CM","EC","FB","MP","SMC","weight"
"8803",0,0.0166513754246187,0.0166513754246187,0.0166513754246187,0.0166513754246187,0.0166513754246187
"9215",0,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143
"29103",0,0.963,0.963,0.963,0.963,0.963
"6418",0,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867
"51142",0,0.0106319809147745,0.0106319809147745,0.0106319809147745,0.0106319809147745,0.0106319809147745
"8682",0,0.865062165438821,0.865062165438821,0.865062165438821,0.865062165438821,0.865062165438821
"140467",0,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474
"25915",0,0.307647418212931,0.307647418212931,0.307647418212931,0.307647418212931,0.307647418212931
"84266",0,0.345798848604935,0.345798848604935,0.345798848604935,0.345798848604935,0.345798848604935
"6271",0,0.768333333333333,0.768333333333333,0.768333333333333,0.768333333333333,0.768333333333333
"4338",0,0.028540133338534,0.028540133338534,0.028540133338534,0.028540133338534,0.028540133338534
"27258",0,0.0217403133466853,0.0217403133466853,0.0217403133466853,0.0217403133466853,0.0217403133466853
"10987",0,0.00311912528496619,0.00311912528496619,0.00311912528496619,0.00311912528496619,0.00311912528496619
"28958",0,0.104617959391749,0.104617959391749,0.104617959391749,0.104617959391749,0.104617959391749
"5269",0,0.061644362051661,0.061644362051661,0.061644362051661,0.061644362051661,0.061644362051661
"85437",0,0.0230356224926407,0.0230356224926407,0.0230356224926407,0.0230356224926407,0.0230356224926407
"27249",0,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174
"2739",0,0.024990425380049,0.024990425380049,0.024990425380049,0.024990425380049,0.024990425380049
"9167",0,0.803021695680542,0.803021695680542,0.803021695680542,0.803021695680542,0.803021695680542
"5202",0,0.0181386277368446,0.0181386277368446,0.0181386277368446,0.0181386277368446,0.0181386277368446
"128",0,0.0114885692948064,0.0114885692948064,0.0114885692948064,0.0114885692948064,0.0114885692948064
"5239",0,0.0178571428571429,0.0178571428571429,0.0178571428571429,0.0178571428571429,0.0178571428571429
"22931",0,0.0293999913608183,0.0293999913608183,0.0293999913608183,0.0293999913608183,0.0293999913608183
"5885",0,0.0293949803345339,0.0293949803345339,0.0293949803345339,0.0293949803345339,0.0293949803345339
"23412",0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842
"5048",0,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877
"51574",0,0.183636363636364,0.183636363636364,0.183636363636364,0.183636363636364,0.183636363636364
"6342",0,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867
"3913",0,0.935,0.935,0.935,0.935,0.935
"10241",0,0.133627074335395,0.133627074335395,0.133627074335395,0.133627074335395,0.133627074335395
"54873",0,0.5275,0.5275,0.5275,0.5275,0.5275
"23190",0,0.00912638854270297,0.00912638854270297,0.00912638854270297,0.00912638854270297,0.00912638854270297
"3550",0,0.0223179447724711,0.0223179447724711,0.0223179447724711,0.0223179447724711,0.0223179447724711
"8991",0,0.875,0.875,0.875,0.875,0.875
"4154",0,0.6025,0.6025,0.6025,0.6025,0.6025
