marker_ID,Basal,Fib,Gland,Macro,NeuIm,NeuMa,Peri,Plasma,Tcell
ELK3,0.0,0.0,0.0,0.0,0.0,0.0,0.9285847215412673,0.0,0.0
HYAL2,0.0,0.0,0.0,0.0,0.0,0.0,0.7981259439703409,0.0,0.0
HBEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.700545072459548,0.0,0.0
NDRG1,0.0,0.0,0.0,0.0,0.0,0.0,1.0897579953253786,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.7381780740234232,0.0,0.0
LMO2,0.0,0.0,0.0,0.0,0.0,0.0,0.8516644286582242,0.0,0.0
SOCS2,0.0,0.0,0.0,0.0,0.0,0.0,0.8325828450635243,0.0,0.0
ITGA6,0.0,0.0,0.0,0.0,0.0,0.0,0.8634661099889688,0.0,0.0
FAM198B,0.0,0.0,0.0,0.0,0.0,0.0,0.7607003677176365,0.0,0.0
MMRN2,0.0,0.0,0.0,0.0,0.0,0.0,0.7810690155530905,0.0,0.0
LDB2,0.0,0.0,0.0,0.0,0.0,0.0,0.9300689172840451,0.0,0.0
PIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.9739545263808663,0.0,0.0
NES,0.0,0.0,0.0,0.0,0.0,0.0,0.7180088590445786,0.0,0.0
CD200,0.0,0.0,0.0,0.0,0.0,0.0,0.6909792525731433,0.0,0.0
IFI44L,0.0,0.0,0.0,0.0,0.0,0.0,0.8499990151161347,0.0,0.0
PSMB9,0.0,0.0,0.0,0.0,0.0,0.0,1.1394172834688598,0.0,0.0
LEPR,0.0,0.0,0.0,0.0,0.0,0.0,0.698168055401529,0.0,0.0
PSMB8,0.0,0.0,0.0,0.0,0.0,0.0,1.140236741077578,0.0,0.0
NRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.7716495250480743,0.0,0.0
CDH5,0.0,0.0,0.0,0.0,0.0,0.0,0.6308451812180971,0.0,0.0
KANK3,0.0,0.0,0.0,0.0,0.0,0.0,0.6203025222619004,0.0,0.0
HLA-F,0.0,0.0,0.0,0.0,0.0,0.0,0.9844372698518521,0.0,0.0
GIMAP6,0.0,0.0,0.0,0.0,0.0,0.0,0.6849735891934289,0.0,0.0
PTPRB,0.0,0.0,0.0,0.0,0.0,0.0,0.572895904086047,0.0,0.0
CXorf36,0.0,0.0,0.0,0.0,0.0,0.0,0.6316483491762976,0.0,0.0
IL33,0.0,0.0,0.0,0.0,0.0,0.0,0.6704930371641783,0.0,0.0
NUAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.6409221290334448,0.0,0.0
IFIT3,0.0,0.0,0.0,0.0,0.0,0.0,0.5147766045547211,0.0,0.0
TJP1,0.0,0.0,0.0,0.0,0.0,0.0,0.959243980158861,0.0,0.0
SNCG,0.0,0.0,0.0,0.0,0.0,0.0,0.9277828980382712,0.0,0.0
UTRN,0.0,0.0,0.0,0.0,0.0,0.0,0.9501288398243997,0.0,0.0
DLC1,0.0,0.0,0.0,0.0,0.0,0.0,0.7245268209930844,0.0,0.0
C1orf115,0.0,0.0,0.0,0.0,0.0,0.0,0.6321230034845255,0.0,0.0
RBP7,0.0,0.0,0.0,0.0,0.0,0.0,0.6245151194911664,0.0,0.0
CXCL12,0.0,0.0,0.0,0.0,0.0,0.0,0.24816724811221016,0.0,0.0
LAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.8182350759139232,0.0,0.0
SLCO2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.303327992387459,0.0,0.0
UACA,0.0,0.0,0.0,0.0,0.0,0.0,0.7007325519492019,0.0,0.0
COL15A1,0.0,0.0,0.0,0.0,0.0,0.0,0.5883798726905364,0.0,0.0
ICAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.463890661267017,0.0,0.0
BAG3,0.0,0.0,0.0,0.0,0.0,0.0,0.7144580667777466,0.0,0.0
ADGRF5,0.0,0.0,0.0,0.0,0.0,0.0,0.3522106980369081,0.0,0.0
DUSP23,0.0,0.0,0.0,0.0,0.0,0.0,0.8356106750866854,0.0,0.0
SWAP70,0.0,0.0,0.0,0.0,0.0,0.0,0.7113832066527307,0.0,0.0
