marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
AKR1B1,0.0,0.0,0.0,0.0,1.138406808774216,0.0,0.0
OASL,0.0,0.0,0.0,0.0,0.9251106190171559,0.0,0.0
APIP,0.0,0.0,0.0,0.0,1.0751313261786406,0.0,0.0
GAA,0.0,0.0,0.0,0.0,0.9614254207756385,0.0,0.0
BLVRA,0.0,0.0,0.0,0.0,1.1771168491309563,0.0,0.0
AKR1A1,0.0,0.0,0.0,0.0,1.215815079022706,0.0,0.0
ATP6AP1,0.0,0.0,0.0,0.0,1.2020241140284011,0.0,0.0
CXCL3,0.0,0.0,0.0,0.0,0.7737512129745747,0.0,0.0
ETHE1,0.0,0.0,0.0,0.0,1.1070834970514296,0.0,0.0
ABCG1,0.0,0.0,0.0,0.0,0.8158925893230283,0.0,0.0
SCD,0.0,0.0,0.0,0.0,0.8195678497117643,0.0,0.0
SLC31A2,0.0,0.0,0.0,0.0,0.8575612860643006,0.0,0.0
UPP1,0.0,0.0,0.0,0.0,0.9859271362143152,0.0,0.0
RMDN3,0.0,0.0,0.0,0.0,0.9083632643085193,0.0,0.0
ARL4A,0.0,0.0,0.0,0.0,1.0608123916887284,0.0,0.0
LPL,0.0,0.0,0.0,0.0,0.8864637053612717,0.0,0.0
PLA2G16,0.0,0.0,0.0,0.0,1.2419319791237255,0.0,0.0
C2,0.0,0.0,0.0,0.0,1.0641912439884438,0.0,0.0
