,BE,EC,Fib,LE,Leu,SM,weight
58475,0.41,0.41,0.41,0.41,0.0,0.41,0.41
1520,0.76,0.76,0.76,0.76,0.0,0.76,0.76
4973,0.92,0.92,0.92,0.92,0.0,0.92,0.92
6688,0.6975,0.6975,0.6975,0.6975,0.0,0.6975,0.6975
1890,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.0,0.06838709677419355,0.06838709677419355
58191,0.065,0.065,0.065,0.065,0.0,0.065,0.065
1992,0.48,0.48,0.48,0.48,0.0,0.48,0.48
55,0.655,0.655,0.655,0.0,0.655,0.655,0.655
563,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.0,0.7949999999999999,0.7949999999999999,0.7949999999999999
7103,0.92,0.92,0.92,0.0,0.92,0.92,0.92
5320,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.0,0.9299999999999999,0.9299999999999999,0.9299999999999999
1999,0.0,0.8700000000000001,0.8700000000000001,0.0,0.8700000000000001,0.8700000000000001,0.8700000000000001
10551,0.875,0.875,0.875,0.0,0.875,0.875,0.875
100131187,0.0,0.25493006993006995,0.25493006993006995,0.0,0.25493006993006995,0.25493006993006995,0.25493006993006995
55766,0.0,nan,nan,0.0,nan,0.0,0.0
54502,0.684375,0.684375,0.684375,0.0,0.684375,0.684375,0.684375
347735,0.81,0.81,0.81,0.0,0.81,0.81,0.81
4695,nan,nan,nan,0.0,nan,nan,0.0
6638,nan,nan,nan,0.0,nan,nan,0.0
27018,nan,nan,nan,0.0,nan,nan,0.0
6342,nan,nan,nan,0.0,nan,nan,0.0
2739,nan,nan,nan,0.0,nan,nan,0.0
311,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.0,0.16153846153846155,0.16153846153846155,0.16153846153846155
9556,0.0,nan,nan,0.0,0.0,nan,0.0
54539,nan,nan,nan,0.0,nan,nan,0.0
22936,0.06555555555555556,0.06555555555555556,0.06555555555555556,0.0,0.06555555555555556,0.06555555555555556,0.06555555555555556
4694,nan,nan,nan,0.0,nan,nan,0.0
4718,nan,nan,nan,0.0,nan,nan,0.0
7341,nan,0.0,nan,0.0,nan,nan,0.0
51510,nan,nan,nan,0.0,nan,nan,0.0
9167,nan,nan,nan,0.0,nan,nan,0.0
347,0.815,0.815,0.0,0.815,0.815,0.815,0.815
3488,0.5125,0.5125,0.0,0.5125,0.5125,0.0,0.5125
