marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate,weight
5407,0.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333
5406,0.0,0.8075000000000001,0.8075000000000001,0.8075000000000001,0.8075000000000001,0.8075000000000001,0.8075000000000001
5646,0.0,0.7042857142857143,0.7042857142857143,0.7042857142857143,0.7042857142857143,0.7042857142857143,0.7042857142857143
50624,0.0,0.895,0.895,0.895,0.895,0.895,0.895
2813,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
6035,0.0,0.875,0.875,0.875,0.875,0.875,0.875
51032,0.0,0.895,0.895,0.895,0.895,0.895,0.895
1506,0.0,0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9033333333333333
50486,0.0,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.024880952380952382,0.024880952380952382
2628,0.0,0.3522222222222222,0.3522222222222222,0.3522222222222222,0.3522222222222222,0.3522222222222222,0.3522222222222222
5360,0.0,0.515,0.515,0.515,0.515,0.515,0.515
1056,0.0,0.525,0.525,0.525,0.525,0.525,0.525
1672,0.0,0.785,0.785,0.785,0.785,0.785,0.785
563,0.0,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.7949999999999999
3777,0.0,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275
51287,0.0,,,,,,0.0
