marker_ID,Chol,EC,Hep,Kup,Lym
GJB1,0.0,0.0,0.4429540347516805,0.0,0.0
GCSH,0.0,0.0,0.7059689971876311,0.0,0.0
MPC1,0.25508419192193144,0.0,0.8320457331796102,0.0,0.0
EHHADH,0.0,0.0,0.4813142121668395,0.0,0.0
NFIC,0.5385013285096438,0.0,0.879505434944794,0.0,0.0
PROS1,0.0,0.0,0.6048413007105857,0.0,0.0
HSD17B10,0.0,0.0,0.9249897016499514,0.0,0.0
MGST2,0.31048789072951166,0.0,0.7987731887196136,0.0,0.0
SHMT1,0.0,0.0,0.510234667705896,0.0,0.0
PRDX2,0.664303669364306,0.0,1.026931719165668,0.0,0.0
COA3,0.3169438152910172,0.0,0.830699890450296,0.0,0.0
ATP5G1,0.38682200531071737,0.0,1.053286418049798,0.0,0.0
QDPR,0.0,0.0,0.6662199907868935,0.0,0.0
LMAN1,0.0,0.0,0.8885416889855341,0.0,0.0
ACOX1,0.0,0.0,0.4700597762306203,0.0,0.0
NDUFC1,0.4717709457515795,0.0,1.0032534244617808,0.0,0.0
IDH1,0.0,0.0,0.703283099285415,0.0,0.0
ETFA,0.0,0.0,0.783838458127226,0.0,0.0
NDUFB7,0.6013972548021078,0.0,1.38734701430849,0.0,0.0
PRDX3,0.0,0.0,0.921834449583131,0.0,0.0
EIF5B,0.19903820048076235,0.0,1.1512556793973696,0.0,0.0
MRPL57,0.2151621545857067,0.0,1.1080229498031946,0.0,0.0
EIF3J,0.0,0.0,0.93930170577592,0.0,0.0
MTRNR2L8,0.0,0.0,0.8320457331796102,0.0,0.0
CHP1,0.486391862585411,0.0,0.8142878333579597,0.0,0.0
CANX,0.33758493716796967,0.0,1.063930038936282,0.0,0.0
CALR,0.0,0.46056912631604363,1.4010460887094205,0.0,0.0
SIGIRR,0.0,0.0,0.8329380346914094,0.0,0.0
CRYL1,0.0,0.0,0.5232488122308523,0.0,0.0
AK3,0.0,0.0,0.5449099305358346,0.0,0.0
NDUFS6,0.41446557730050965,0.0,1.2565121001187687,0.0,0.0
TIMM8B,0.36433212876538174,0.0,0.9939875334662955,0.0,0.0
TIMM13,0.0,0.0,0.9213561956669368,0.0,0.0
PET100,0.42090672240245935,0.0,1.280619150159734,0.0,0.0
SOD2,0.30552107439232123,0.0,0.87915872082387,0.0,0.0
NDUFA2,0.40912417035093773,0.0,1.2149521352166668,0.0,0.0
CTSZ,0.0,0.0,0.8373708494575423,0.5238781970243542,0.0
NFIA,0.16787972855659825,0.0,0.5321546941166099,0.0,0.0
NDUFB9,0.5624795386963303,0.0,1.1846105690894881,0.0,0.0
ARL6IP1,0.664303669364306,0.0,1.0869597329416882,0.0,0.0
CD302,0.0,0.0,0.7205235405660658,0.6842580449566014,0.0
NDUFV3,0.0,0.0,0.6511156122417697,0.0,0.0
TXNDC17,0.40236065317088,0.0,0.7663989628038287,0.0,0.0
ANAPC11,0.47168983718127766,0.0,1.1019495061691398,0.0,0.0
KDELR2,0.0,0.0,0.8331591910410977,0.0,0.0
MRPL14,0.0,0.0,0.5800372521803197,0.0,0.0
NMT1,0.0,0.0,0.7124540718352166,0.0,0.0
NDUFA3,0.4584902565283535,0.0,1.2402008745969537,0.0,0.0
COX14,0.3744366476714089,0.0,0.865657812341188,0.0,0.0
ATP5H,0.6601219157025936,0.0,0.9658306108462708,0.0,0.0
LDHA,0.31048789072951166,0.0,1.1062830292313315,0.0,0.0
STOM,0.0,0.7473594122352007,0.8515282537376848,0.0,0.0
MRPL20,0.25508419192193144,0.0,0.8227554712046826,0.0,0.0
NDUFB4,0.67059675742382,0.0,1.1200633944204264,0.0,0.0
NDUFV2,0.41187970891668546,0.0,0.5726079619022547,0.0,0.0
COX5A,0.3182445134612813,0.0,1.0210085190176126,0.0,0.0
HSD17B11,0.6942488345878439,0.0,0.7279870503945722,0.0,0.0
CARHSP1,0.4864584317526575,0.0,0.5852813177194832,0.0,0.0
AURKAIP1,0.3169438152910172,0.0,0.8438775886541185,0.0,0.0
NDUFB10,0.5573296847195596,0.0,0.9593878065394951,0.0,0.0
EIF1AX,0.3194024157848338,0.0,0.7263366292790325,0.0,0.0
LAMTOR2,0.0,0.0,0.46297675066165384,0.0,0.0
HIST1H4C,0.9522950244489894,0.0,1.2545847068251963,0.0,0.0
ENY2,0.0,0.0,0.8268349315694288,0.0,0.0
HSPA5,0.0,0.0,0.8227554712046826,0.0,0.0
TMCO1,0.5214164991033537,0.0,0.6289454887883996,0.0,0.0
MRPL51,0.3147595453190349,0.0,0.7730097476386606,0.0,0.0
ZFAND5,0.0,0.0,0.4429540347516805,0.0,0.0
FIS1,0.47168983718127766,0.0,0.864245171521485,0.0,0.0
METAP2,0.0,0.0,0.5992320822805424,0.0,0.0
