marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP
KIAA0040,0.766116886841408,0.6122595214208447,0.0,0.0,0.7329155903611816,0.7724009901397106,0.0
ARL6IP1,0.0,1.0080824042051777,0.0,0.0,0.6058802328368846,1.0116327309450486,0.8821469307146175
RAPGEF6,0.0,0.0,0.0,0.0,0.0,0.6853396595536329,0.0
IMAP1,0.0,0.0,0.0,0.0,0.0,0.9298831149731555,0.0
LSM4,0.7923944045689362,0.0,0.0,0.0,0.9869113589653156,1.0078614048647125,0.8726410066866006
ANP32D,0.0,0.9112505339120862,0.0,0.0,0.5429546218370584,1.0297994513881439,0.6644391768513125
CNN2,0.6423518357678235,0.0,0.0,0.0,0.0,1.0021520224805474,0.6828826094244766
KRT18,1.0482593912740903,0.0,0.0,0.0,3.822008538100418,0.0,0.5767394936318597
KRT8,1.8833915806126127,0.0,0.0,0.0,3.507398258111652,0.0,0.44283999968991705
KRT19,0.0,0.0,0.0,0.0,3.225298110790453,0.0,0.0
EPCAM,2.423913147495803,0.0,0.0,0.0,3.2498663463526216,0.0,0.0
SDC4,2.5627725098590304,0.0,0.0,0.8909044400731722,2.732745735445411,0.0,0.9825891211287879
CLDN7,0.0,0.0,0.0,0.0,1.9611636997261224,0.0,0.0
LGALS3,0.5477130096222194,0.0,0.0,0.8144932556071978,2.7574844499617654,0.0,2.23429800675423
S100A16,1.7026324142509903,0.914554256481976,0.0,0.9082017234905697,2.0339695744243564,0.0,0.0
MFGE8,1.2337195152372615,0.7824405471299156,0.0,0.8898321624856753,2.3983196232454564,0.0,0.0
LY6D,0.0,0.0,0.0,0.0,1.656083227421154,0.0,0.0
WFDC2,0.0,0.0,0.0,0.0,1.0195085802454025,0.0,0.0
BASP1,0.0,0.0,0.0,0.0,1.7532385906878896,0.0,0.9919934521852513
NUPR1,0.0,0.0,0.0,1.031045958998745,1.4089760609662452,0.0,0.0
CLU,0.0,0.0,0.0,0.0,2.0135446445395417,0.0,0.0
SOX9,1.1924585679851618,0.0,0.0,0.0,1.9242828136410473,0.0,0.0
PHLDA1,1.3776384613172845,0.6423279321637324,0.0,1.4847991764954012,1.7581492880220515,0.0,0.0
CSN3,0.0,0.0,0.0,0.0,0.8858398492149986,0.0,0.0
CD164,0.5652976463539938,0.0,0.0,0.868617395168503,1.3049350565745526,0.0,0.4953764149098945
PRLR,0.0,0.0,0.0,0.0,0.7009371941560408,0.0,0.0
CRIP2,1.6252230009374116,1.14493753578477,0.0,0.0,1.8653225740348267,0.0,0.0
PIG59,0.0,1.3434720036622736,0.0,1.0708057504368527,1.374339512968126,0.0,0.6501785005477146
CLDN3,0.0,0.0,0.0,0.0,1.3942214237057151,0.0,0.0
S100A1,0.9824358012864655,0.0,0.0,0.0,1.2006696307440208,0.0,0.0
ETS2,0.9540696857250466,0.784248380792964,0.0,0.0,1.480376000251568,0.0,0.0
AREG,0.0,0.0,0.0,0.0,0.6805881457834515,0.0,0.0
JUP,0.9992364850175238,0.0,0.0,0.0,1.2598164195464456,0.0,0.0
KRT7,0.0,0.0,0.0,0.0,1.5429050667880113,0.0,0.0
CDC42EP3,1.192405507922421,1.0574405315391318,0.0,0.0,1.220678364319376,0.0,0.0
RAB25,0.0,0.0,0.0,0.0,0.907604600967396,0.0,0.0
CDH1,0.7758218181497131,0.0,0.0,0.0,1.229386681789959,0.0,0.0
SPINT1,0.0,0.0,0.0,0.0,0.8308064876665291,0.0,0.0
TACSTD2,0.0,0.0,0.0,0.0,1.1083733893942722,0.0,0.0
SLC12A2,0.0,0.0,0.0,0.0,0.7446868266204175,0.0,0.0
MRPL14,0.0,0.0,0.0,0.0,1.0263968422928493,0.0,0.14641579239380403
GADD45A,0.0,0.0,0.0,0.0,0.9893989164598108,0.0,0.0
PRDX5,0.6941497717228098,0.0,0.0,0.6170050896873269,1.1094621828260467,0.0,0.528634062788275
CRB3,0.0,0.0,0.0,0.0,0.7758227683132721,0.0,0.0
TPD52,0.6533878881778474,0.0,0.0,0.0,1.0023859158075457,0.0,0.8843318289138641
ANO1,0.0,0.0,0.0,0.0,0.8135607101926814,0.0,0.0
NDFIP2,0.7845558286758731,0.3446930010014049,0.0,0.0,0.938702703072172,0.0,0.0
NDUFC1,0.7376696230713797,0.0,0.0,0.0,1.0544656070192864,0.0,0.6293542089018646
ST14,0.0,0.0,0.0,0.0,0.758340321338449,0.0,0.0
NDUFS6,1.0435124098717257,0.30981590831052086,0.0,0.0,1.088956358234895,0.0,0.6207929267969219
S100A14,0.0,0.0,0.0,0.0,0.6560306862511947,0.0,0.0
MDFI,0.6624296631899427,0.0,0.0,0.0,0.7429129699149485,0.0,0.0
SERINC2,0.6160149669033028,0.0,0.0,0.0,0.7969525570853425,0.0,0.0
EZR,0.792625867167081,0.0,0.0,0.0,1.4547781554213903,1.107490474506345,0.8235333135958245
