marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal,weight
7462,0.8840272060464933,0.8840272060464933,0.0,0.8840272060464933,0.0,0.8840272060464933,0.8840272060464933,0.8840272060464933
27040,0.7938482259599433,0.7938482259599433,0.0,0.7938482259599433,0.7938482259599433,0.7938482259599433,0.7938482259599433,0.7938482259599433
5621,,,0.0,,0.0,,,0.0
6439,0.8691987537170442,0.0,0.8691987537170442,0.8691987537170442,0.8691987537170442,0.8691987537170442,0.8691987537170442,0.8691987537170442
9476,0.905387487955806,0.0,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806
284340,0.886941516499854,0.0,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854
155465,0.9604029682437007,0.0,0.9604029682437007,0.9604029682437007,0.9604029682437007,0.9604029682437007,0.9604029682437007,0.9604029682437007
5349,0.6161755028680032,0.0,0.6161755028680032,0.6161755028680032,0.6161755028680032,0.6161755028680032,0.6161755028680032,0.6161755028680032
5225,0.9184612693647913,0.0,0.9184612693647913,0.9184612693647913,0.9184612693647913,0.9184612693647913,0.9184612693647913,0.9184612693647913
3856,0.6143809138531653,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653
4070,0.29266189749056304,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304
57402,0.8300055012965534,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
51208,0.8975928523626177,0.0,0.8975928523626177,0.8975928523626177,0.8975928523626177,0.8975928523626177,0.8975928523626177,0.8975928523626177
