marker_ID,CM,EC,FB,MP,SMC
TXNIP,0.0,8.234034694404164,0.0,0.0,0.0
CD99,0.0,0.0,4.091376893365614,3.207039395888015,0.0
TFPI,0.0,1.6688154910345856,3.410738944823834,0.0,2.076101845109208
LAMP2,0.0,0.0,2.7918191376036026,1.9643833628403267,0.0
NFIX,1.5091769763832807,0.0,2.024217296798664,0.0,0.0
SEC62,0.0,6.538360899981233,8.18858589495341,0.0,0.0
DCN,0.0,0.0,13.170523119055678,0.0,0.0
VIM,0.0,7.684866689870408,9.745175597534272,7.459886508584977,7.714759382850307
DKK3,6.927325860586534,0.0,4.940078560961646,0.0,0.0
LAPTM4A,0.0,0.0,6.935586763739014,0.0,0.0
NUCKS1,6.077198442198911,0.0,4.878560588756462,0.0,0.0
ENO1,0.0,0.0,3.6189448223178453,3.30971856386328,0.0
SRI,0.0,0.0,4.011869222426448,0.0,0.0
EPB41L2,0.0,2.781001719283435,3.8514359390209854,0.0,0.0
BZW1,0.0,0.0,2.5553412049748383,1.6607573452664384,0.0
TMED2,3.5791681149947907,0.0,3.9935783921066044,0.0,0.0
FTL,0.0,0.0,10.652302758006545,10.567745820671494,0.0
DYNLL1,0.0,0.0,4.548734890938506,0.0,3.734801624545519
LTBP4,0.0,0.0,3.9448559211067478,0.0,0.0
GLG1,2.4588928898069327,0.0,2.8070008175788383,0.0,0.0
LGALS1,0.0,0.0,9.735170404280257,0.0,9.84830206926119
TIMP3,0.0,6.767205427852141,8.793865107280473,0.0,8.226451872278489
EIF5,5.446777177616388,0.0,6.056879835115175,0.0,0.0
SAMHD1,0.0,0.0,2.5049255514619895,1.817347470749262,0.0
CST3,0.0,0.0,7.680008942834508,0.0,0.0
CPQ,0.0,0.0,2.470264257023015,0.0,0.0
BNIP3L,0.0,0.0,3.829979614484585,0.0,0.0
RARRES2,0.0,0.0,2.9960611005951536,0.0,2.2345847976432753
AEBP1,0.0,0.0,2.3264194639720297,0.0,1.3523551017323425
RASSF4,0.0,0.0,2.6827575421965335,1.7674355174337975,0.0
ARHGAP21,0.0,0.0,2.6118525958177665,0.0,0.0
YWHAE,6.802085955383269,0.0,5.581859450408219,0.0,0.0
NDUFC1,9.216203555561238,0.0,7.153276393047908,0.0,0.0
SH3D19,2.5694608691646894,0.0,2.994466653706157,0.0,0.0
MGP,0.0,5.959545785230673,10.092842805102087,0.0,0.0
ADGRD1,1.5548596320152723,0.0,2.610900683744106,0.0,0.0
SPARC,0.0,4.5719101334302765,5.665166589768912,0.0,7.153157558934439
PDGFRB,0.0,0.0,2.3475018016704685,0.0,4.291664416749972
ATP6V0E1,4.216257949195458,0.0,4.879744586669915,0.0,0.0
RND3,2.410671261524657,0.0,2.5084907828728187,0.0,0.0
TMEM59,3.720866040038576,0.0,4.713885703221444,0.0,0.0
CD58,0.0,1.5192468217372417,2.4286161600524623,0.0,0.0
NID1,0.0,0.0,3.78717416106507,0.0,1.8555452969358788
ECHDC2,2.062073246442789,0.0,2.6585410603026056,0.0,0.0
SEPT7,0.0,0.0,6.3718102861039485,0.0,6.831871084479512
PRDX4,0.0,0.0,3.4556474546571816,0.0,0.0
ROMO1,7.3162222313123095,0.0,6.0417504654886445,0.0,0.0
SHFM1,6.229563131359953,0.0,5.67492167121714,0.0,0.0
DAD1,0.0,0.0,5.2666899638029925,0.0,0.0
AKAP12,0.0,0.0,3.928627457196665,0.0,1.906430696607397
RBM39,0.0,0.0,5.693853229898228,5.208935148467701,0.0
MATN2,0.0,0.0,3.4288740925684995,0.0,0.0
SPG20,0.0,0.0,3.095352691323519,0.0,2.0599960489980558
TMEM258,6.278352814674426,0.0,5.075533687110626,0.0,0.0
COL4A2,0.0,0.0,3.2255985025122023,0.0,2.6337276364880675
CD63,7.784258300568238,0.0,8.292482475022513,0.0,0.0
GLUL,4.977970585873086,0.0,6.195226620962187,4.499825776674933,0.0
ITM2B,0.0,0.0,8.550385080155145,0.0,0.0
ATRAID,3.942288031623758,0.0,4.705998645495904,0.0,0.0
TMBIM6,0.0,0.0,5.878449617771447,4.781352723619513,0.0
FGF7,1.615625757235607,0.0,2.3857066022224265,0.0,0.0
SOD1,7.442392019817486,0.0,6.283159015245052,0.0,0.0
APP,3.8780546077693727,4.326462051755265,5.475489397301236,0.0,0.0
SH3BGRL3,0.0,0.0,3.996790900878538,3.5072362784416913,0.0
CALM2,0.0,0.0,8.89438422820241,0.0,9.776468530773878
ARL6IP5,5.941363757106726,0.0,6.34380706535894,0.0,0.0
PIK3R1,4.718720863412911,0.0,4.544980359030438,3.194803973450996,0.0
IGFBP3,0.0,1.863091222782105,3.020345994190891,0.0,0.0
PLIN2,0.0,0.0,3.2349049015384774,2.2370690510558195,0.0
GSN,0.0,7.645023378915552,11.426514142465935,0.0,0.0
SERPING1,0.0,0.0,7.847862252106484,0.0,4.37325133538247
ARID5B,0.0,0.0,3.5371584492153922,0.0,2.9048447253396406
DST,7.596320280057273,0.0,6.471701188518362,0.0,0.0
SPOCK1,1.5115231266940865,0.0,2.38597874400427,0.0,0.0
WASF2,0.0,2.9384963751405255,4.16412870097042,0.0,3.4400747157785942
TAGLN2,0.0,3.0814625234161364,3.7367942156863103,2.5692705656081953,0.0
NBL1,0.0,3.339974121023306,5.183703740064355,0.0,4.410003120762352
SON,0.0,0.0,7.597768146842794,0.0,7.148767512262291
ATP5G1,8.706287223191053,0.0,5.843954875446097,0.0,0.0
NFIA,4.111525800972832,0.0,4.979882089689437,0.0,0.0
DDR2,0.0,0.0,3.326820437210315,0.0,0.0
S100A11,0.0,4.076692840610767,6.014326303801974,4.955071846902172,0.0
IGFBP7,0.0,0.0,6.443883268576041,0.0,7.795228925223456
LRPAP1,4.350300341002205,0.0,3.8707289145026054,0.0,0.0
SPRY1,0.0,1.8049718538720916,3.484582348210859,0.0,1.7114584586837622
ANXA5,0.0,0.0,5.237858356162187,4.20413473889904,3.956770106292503
RHOBTB3,2.1919355746536135,0.0,2.4276051826372003,0.0,0.0
SPTSSA,0.0,0.0,2.4856580683233656,0.0,0.0
CYB5A,2.6664307110446326,0.0,2.7730046249355063,0.0,0.0
CASC4,0.0,0.0,2.2618966664929467,0.0,0.0
VKORC1,0.0,0.0,2.4845718701725605,0.0,0.0
IGFBP6,0.0,0.0,4.527687956371224,0.0,2.228858225662509
FTH1,0.0,0.0,2.144168599458858,2.117518966187915,0.0
COL3A1,0.0,0.0,3.943192622407231,0.0,2.4928974177286056
LMAN2,0.0,0.0,2.975184842497246,0.0,0.0
SDC2,0.0,0.0,3.124128345657938,0.0,0.0
TRMT112,0.0,0.0,4.919739539492775,0.0,3.970869023817212
GOLGB1,4.982009639672069,0.0,5.043201310509403,0.0,0.0
CTSF,1.7939357436009087,0.0,2.3706495203206233,0.0,0.0
NUPR1,0.0,0.0,7.429624654868105,0.0,5.3690443842113105
CHD9,0.0,0.0,2.5894806126322734,0.0,1.7275604176236687
SSR4,5.56788414166562,0.0,5.449721164516135,0.0,0.0
ZBTB20,0.0,0.0,2.6825350269254384,0.0,0.0
ADI1,5.459310076137512,0.0,4.1255653102177785,0.0,0.0
LHFP,0.0,0.0,3.8722581040568076,0.0,3.216540182455344
PCDH9,3.226260346881084,0.0,4.630864155597913,0.0,0.0
PROS1,0.0,0.0,3.2730726498557856,0.0,0.0
PBX1,1.6979573283508427,0.0,2.259772514780217,0.0,0.0
ZFP36L1,0.0,0.0,4.7306506746643375,3.983721275809484,0.0
COL4A1,0.0,0.0,3.185819146297617,0.0,2.2171651092229685
PLA2G2A,0.0,0.0,4.26261814379867,0.0,2.106826468730221
PLAC9,0.0,0.0,6.807433989029871,0.0,5.272482819714239
S100A6,0.0,0.0,8.731482030950243,6.737954995176532,0.0
ASPH,4.956616694197966,0.0,4.479729136470338,0.0,0.0
OSTC,0.0,0.0,2.619824101542578,1.591203401396192,0.0
SMC5,0.0,0.0,2.3283533113632306,0.0,0.0
